ID	SEN0_1	SEN0_2	SEN0_3	SEN7_1	SEN7_2	SEN7_3	TON0_1	TON0_2	TON0_3	TON7_1	TON7_2	TON7_3	TON30_1	TON30_2	TON30_3
LOC123760343	0.100474	0.340655	0.113014	1.880610	4.693879	5.229404	0.000000	0.190024	0.106915	0.507297	0.443684	0.000000	2.216880	2.042091	2.024257
LOC123760344	3.186272	1.016925	2.570044	1.081677	5.324175	4.998695	0.598753	3.547101	2.938146	4.066064	2.925537	0.281848	5.684852	6.072911	4.536461
LOC123760345	71.048524	62.138705	63.415424	59.939831	69.238098	81.645812	49.107631	61.788437	55.829262	70.552340	53.241155	38.331373	72.091064	88.509947	77.177404
LOC123760347	0.0	0.511596	0.211907	0.501265	1.887772	0.809966	0.000000	3.643208	0.156873	0.451618	0.000000	0.0	0.807437	1.068143	0.658876
LOC123760349	151.062919	58.100084	225.953210	28.535654	29.167029	94.069238	43.017805	70.752716	42.292856	50.656161	187.267551	28.592014	31.353407	53.665976	52.996992
LOC123760350	7.742350	4.641118	8.339501	5.146732	6.293169	8.309514	4.271131	4.275680	4.467961	6.458547	19.678167	1.545541	5.503064	8.960679	8.592865
LOC123760352	1.548795	0.606426	0.676390	0.737515	1.254066	1.096159	0.000000	0.847624	0.381862	0.599196	0.589696	0.0	0.673093	1.399015	1.978317
LOC123760353	0.119274	6.574965	0.110960	6.823769	22.794599	9.454532	0.373690	1.408654	0.114593	2.614265	3.953015	0.104285	9.324507	3.668325	8.054868
LOC123760354	7.829788	5.252276	7.448063	6.608000	8.482239	9.756296	2.193410	10.466933	5.594456	4.990140	3.690947	2.086571	5.105992	8.079305	8.520393
LOC123760356	2.363588	5.006996	1.722777	125.143534	160.054554	131.826729	0.715513	15.142671	2.259825	97.627107	101.572265	5.438427	143.396104	68.772625	59.619055
LOC123760357	1.519299	1.703747	1.014264	4.427819	6.745146	6.914172	0.560798	3.648227	1.474532	3.397144	2.822305	0.613173	5.537152	7.374894	4.190210
LOC123760358	79.581924	144.209849	136.811743	105.399825	114.238983	120.307571	39.684809	89.038185	123.346166	53.226938	53.115128	20.234578	64.376033	115.385207	75.345506
LOC123760359	0.000000	3.370625	1.034185	2.598135	5.543635	2.534527	0.097600	0.117455	0.714707	0.527404	0.214397	0.000000	5.552137	3.970962	4.665157
LOC123760360	1.970415	6.656743	4.635867	6.408519	13.963620	9.705713	1.388407	4.760829	4.504042	4.114760	2.194395	1.099642	8.284333	9.646690	11.458546
LOC123760361	0.755556	4.786410	1.423858	1.937083	3.920413	4.383899	0.323373	0.0	0.0	0.0	0.336923	0.202182	0.527123	0.150504	0.0
LOC123760362	1.895623	1.551227	0.758391	3.056641	4.648627	6.180518	0.966417	1.665640	0.854313	2.381644	0.985691	0.455112	4.195351	6.188614	8.909227
LOC123760363	5.167589	14.369624	6.278120	16.079138	31.046669	23.963419	3.779716	8.795943	6.685105	15.741082	12.361043	2.174121	19.546113	32.124961	18.335622
LOC123760364	0.000000	0.361503	0.137178	0.594044	0.932671	0.858133	0.000000	0.179537	0.0	0.295330	0.212182	0.000000	0.895630	1.259914	1.337092
LOC123760366	0.0	0.0	0.0	0.187195	1.467135	0.643519	0.0	0.252042	0.0	1.310232	0.248183	0.151246	0.077578	0.327578	0.177642
LOC123760367	2.209959	4.725441	0.878591	1.104351	2.405529	4.964158	1.301570	2.793914	1.608344	0.885540	0.951732	1.084878	3.939983	2.608242	0.399853
LOC123760369	0.573653	3.021568	0.387681	0.628010	1.074969	5.688116	0.112360	0.322696	0.366298	0.234376	0.079638	0.000000	0.745688	0.577342	0.564896
LOC123760370	5.666053	9.713679	4.807162	7.903238	22.087410	19.886224	1.591653	15.200837	4.670459	5.375807	3.228086	0.854192	5.875855	9.638290	5.696771
LOC123760371	3.628312	2.873420	2.874869	3.088016	7.248618	8.918957	2.337838	5.520020	3.976861	5.377899	2.312827	2.156759	4.679629	9.614052	4.064520
LOC123760372	6.507307	3.996843	2.545116	6.109013	6.611848	9.488139	1.785400	3.828579	2.897945	3.422797	1.321186	0.461647	7.933359	12.516402	5.477258
LOC123760375	1.443564	0.467898	0.139433	0.323342	0.467925	0.873883	0.000000	1.320822	0.557194	1.644946	0.145257	0.365812	0.879266	0.758269	0.000000
LOC123760376	3.558811	0.986563	1.327265	1.928680	3.559262	3.631077	0.738107	2.051313	1.368703	2.536482	2.163635	0.579068	3.793207	5.402695	5.053509
LOC123760378	8.912328	2.999870	6.218997	3.858618	3.827247	4.040842	2.427946	2.374634	5.940191	3.595300	3.335416	2.127515	4.903021	5.490344	6.517930
LOC123760379	53.490385	31.581307	46.876583	36.884866	25.799807	33.656896	43.900518	38.757214	44.543057	41.231584	30.293693	42.539903	37.707272	42.225541	38.566042
LOC123760381	0.925733	6.413097	0.811862	8.114764	15.378364	16.622229	0.650991	1.335109	0.425636	7.415348	6.452917	0.253069	9.099748	13.320988	8.685506
LOC123760382	13.400264	9.585942	7.360476	11.884408	18.676586	19.105524	4.493144	42.417718	6.877739	10.421983	7.794711	3.556499	18.167636	15.890002	16.528357
LOC123760387	7.198322	12.812545	5.573510	14.049211	26.049240	25.057140	5.082305	28.267714	8.531175	12.381437	9.342137	3.181504	10.099075	12.124504	14.792659
LOC123760388	3.459780	7.260062	9.125689	12.956120	17.664919	10.876317	3.528251	8.576434	8.480412	8.168669	6.777123	1.677715	8.710565	24.123328	15.910022
LOC123760389	0.000000	0.000000	0.000000	0.894843	3.154572	4.422161	0.000000	0.000000	0.000000	0.983640	0.510742	0.000000	1.185464	1.812072	1.484468
LOC123760391	136.342346	195.636061	221.830361	361.985376	487.607315	447.980815	106.098730	543.181277	243.884331	215.265108	104.934939	77.829978	499.960145	790.047634	537.529325
LOC123760398	414.710296	449.171418	459.795086	211.292907	152.516526	239.148477	542.240426	218.424747	764.144668	492.866573	466.863233	499.422968	276.204116	411.240287	362.114094
