Month,Sendai_DaysSnowfall_day,Sendai_AmountSnowfall_cm,Sendai_MinimumTemperature_C,Sendai_MaximumTemperature_C,Sapporo_DaysSnowfall_day,Sapporo_AmountSnowfall_cm,Sapporo_MinimumTemperature_C,Sapporo_MaximumTemperature_C
May-78,0,0,7.2,27.6,0,0,3.5,26.3
Jun-78,0,0,10.5,29.8,0,0,6.4,28.8
Jul-78,0,0,17.3,34.3,0,0,15.3,32.7
Aug-78,0,0,17.9,35.7,0,0,12.3,35.2
Sep-78,0,0,12.8,33.3,0,0,6.9,26.6
Oct-78,0,0,3.9,25.6,2,5,0.4,25.8
Nov-78,0,0,1.1,19.5,3,3,-3,16.9
Dec-78,3,3,-4,16.3,30,82,-13.1,10
Jan-79,9,27,-6.4,16.7,31,143,-14,6.2
Feb-79,2,2,-2.8,16.3,28,127,-9.6,5.5
Mar-79,1,0,-2,16.9,31,67,-9.7,6.6
Apr-79,0,0,-0.1,23.3,10,40,-4.8,12.1
May-79,0,0,6.1,29.5,0,0,4.1,25.4
Jun-79,0,0,9.5,32.5,0,0,6.5,27.7
Jul-79,0,0,14.9,33.8,0,0,8.7,30.6
Aug-79,0,0,18.3,35,0,0,13,32
Sep-79,0,0,12.5,30.1,0,0,7.2,26
Oct-79,0,0,7.1,27.8,0,0,1.2,21.3
Nov-79,0,0,0.8,24.4,8,27,-5.4,19.2
Dec-79,2,2,-2,16.2,24,50,-11,13.8
Jan-80,14,11,-5.5,11.9,31,143,-11.4,7.7
Feb-80,20,58,-7.9,9.5,29,244,-13.7,3.8
Mar-80,6,12,-4,17.1,31,109,-8.6,12.9
Apr-80,1,0,-0.4,21,11,11,-2.8,14.8
May-80,0,0,6.5,28.5,0,0,0.7,27.2
Jun-80,0,0,13.6,29.9,0,0,7.6,31
Jul-80,0,0,14.3,33.9,0,0,13,28.8
Aug-80,0,0,13.4,29.7,0,0,12.1,29.2
Sep-80,0,0,10.5,29.7,0,0,5.1,25.9
Oct-80,0,0,3.5,27.1,0,0,1,23.7
Nov-80,0,0,-0.7,18.7,7,10,-3.1,16.8
Dec-80,16,74,-2.2,16,28,134,-9.5,12.4
Jan-81,19,20,-6.1,7.4,31,273,-12.8,1.4
Feb-81,15,39,-6.3,13.3,28,62,-13.2,4.9
Mar-81,6,8,-4.4,17.9,31,136,-11.4,10.8
Apr-81,0,0,-1,24.1,10,2,-2.7,20.8
May-81,0,0,5.6,29.4,0,0,3.5,24.1
Jun-81,0,0,9.1,25.3,0,0,5.4,27.7
Jul-81,0,0,15.7,33.3,0,0,13.3,32.6
Aug-81,0,0,16.3,33.6,0,0,14.2,34
Sep-81,0,0,9.1,28.8,0,0,6.3,24.5
Oct-81,0,0,5,23.8,0,0,0.9,23.5
Nov-81,0,0,-1.8,19,17,47,-6.3,14.4
Dec-81,8,13,-3.2,14.8,31,111,-10.6,8.7
Jan-82,10,15,-5.7,10,31,193,-13.4,7
Feb-82,13,22,-8.6,12.3,28,167,-16.4,5.3
Mar-82,3,3,-3.4,16.5,31,73,-7.4,12.9
Apr-82,0,0,1.2,21.8,10,22,-4.2,18.8
May-82,0,0,7.9,30.1,0,0,4.4,24.4
Jun-82,0,0,10.1,30.5,0,0,6.4,27.4
Jul-82,0,0,14,29.5,0,0,12.8,31.9
Aug-82,0,0,18.5,30.8,0,0,17.6,30.8
Sep-82,0,0,13.1,28.4,0,0,9.7,27.9
Oct-82,0,0,5.7,24.6,0,0,2.2,23.1
Nov-82,1,2,-1.1,20.8,7,24,-7.6,17.2
Dec-82,2,3,-2,16,27,82,-6,8.4
Jan-83,12,13,-6.7,14.4,31,88,-11.4,8.4
Feb-83,21,31,-6.5,8,28,194,-13.5,3.4
Mar-83,5,15,-2,13.5,31,92,-9.1,12.5
Apr-83,0,0,3,28.2,1,0,1,20.8
May-83,0,0,6.3,27.8,0,0,2,26.2
Jun-83,0,0,10.8,26.5,0,0,6.4,21.8
Jul-83,0,0,11.9,30.9,0,0,10.2,27
Aug-83,0,0,17.2,32.9,0,0,13.4,34.8
Sep-83,0,0,11.4,30.4,0,0,5.9,29.4
Oct-83,0,0,1.5,25.9,3,3,0,21.8
Nov-83,3,0,-2.2,19,6,3,-5.6,14.7
Dec-83,1,0,-4.7,14.6,29,41,-11.5,7.6
Jan-84,19,42,-6.7,8.3,31,117,-15,3.4
Feb-84,27,81,-8.1,5.9,29,239,-15.1,1.2
Mar-84,20,23,-4.6,9.8,31,121,-10,3.9
Apr-84,2,2,-2,19.9,16,31,-4.8,20.7
May-84,0,0,5.8,21.5,0,0,3.1,26.1
Jun-84,0,0,12.8,26.9,0,0,7.9,29
Jul-84,0,0,14.8,33.9,0,0,13.3,32.4
Aug-84,0,0,18.1,33.7,0,0,13.7,32.6
Sep-84,0,0,10.9,33.3,0,0,8.1,26.6
Oct-84,0,0,2.4,27.4,1,1,0.8,23.3
Nov-84,0,0,-2.3,19.6,11,12,-5.4,17.7
Dec-84,9,23,-6.3,14.1,21,40,-12.8,10.6
Jan-85,11,4,-7.6,10.4,31,265,-16.8,3.2
Feb-85,8,29,-3.7,11.7,28,124,-10.6,4
Mar-85,11,47,-3.5,15.1,31,43,-9.7,7.8
